id,artisti
http://www.wikidata.org/entity/Q3937561,El Greco (maschio)
http://www.wikidata.org/entity/Q3937569,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3937634,Pompeo Mariani (maschio)
http://www.wikidata.org/entity/Q3937643,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3944499,Luca Signorelli (maschio)
http://www.wikidata.org/entity/Q3944515,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3945254,Gentile da Fabriano (maschio)
http://www.wikidata.org/entity/Q3945710,Bernardino Luini (maschio)
http://www.wikidata.org/entity/Q3946910,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3947013,Cosmè Tura (maschio)
http://www.wikidata.org/entity/Q3947064,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3947210,Andrea Mantegna (maschio)
http://www.wikidata.org/entity/Q3947211,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3947277,Correggio (maschio)
http://www.wikidata.org/entity/Q3947281,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3947288,Filippino Lippi (maschio)
http://www.wikidata.org/entity/Q3947375,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q3947504,Maestro della Maddalena (maschio)
http://www.wikidata.org/entity/Q3947687,Marco dal Pino (maschio)
http://www.wikidata.org/entity/Q3947812,Fabrizio Santafede (maschio)
http://www.wikidata.org/entity/Q3948034,Parmigianino (maschio)
http://www.wikidata.org/entity/Q3948651,Parmigianino (maschio)
http://www.wikidata.org/entity/Q3948701,Jusepe de Ribera (maschio)
http://www.wikidata.org/entity/Q3949208,Francesco Botticini (maschio)
http://www.wikidata.org/entity/Q3949310,Parmigianino (maschio)
http://www.wikidata.org/entity/Q3949373,Parmigianino (maschio)
http://www.wikidata.org/entity/Q3954057,Carlo Crivelli (maschio)
http://www.wikidata.org/entity/Q122764699,
http://www.wikidata.org/entity/Q3967206,Franciabigio (maschio)
http://www.wikidata.org/entity/Q3973584,Tiziano Vecellio (maschio)
http://www.wikidata.org/entity/Q3974449,Paolo Uccello (maschio)
http://www.wikidata.org/entity/Q3979950,Beato Angelico (maschio); Lorenzo Ghiberti (maschio)
http://www.wikidata.org/entity/Q3979952,Donatello (maschio)
http://www.wikidata.org/entity/Q3979961,Pontormo (maschio)
http://www.wikidata.org/entity/Q3981174,Perin del Vaga (maschio)
http://www.wikidata.org/entity/Q3982379,Buonamico Buffalmacco (maschio)
http://www.wikidata.org/entity/Q3983114,Piero del Pollaiolo (maschio)
http://www.wikidata.org/entity/Q3984830,Angelo Maccagnino (maschio)
http://www.wikidata.org/entity/Q3985169,Leonardo da Vinci (maschio)
http://www.wikidata.org/entity/Q3985186,Giotto (maschio)
http://www.wikidata.org/entity/Q3985472,Michele Pannonio (maschio)
http://www.wikidata.org/entity/Q3992111,Giovanni Gerolamo Savoldo (maschio)
http://www.wikidata.org/entity/Q3994163,Pisanello (maschio)
http://www.wikidata.org/entity/Q3997723,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q3998940,Buonamico Buffalmacco (maschio)
http://www.wikidata.org/entity/Q3999094,Gerolamo Giovenone (maschio)
http://www.wikidata.org/entity/Q3999095,Giovanni Bellini (maschio)
http://www.wikidata.org/entity/Q124038605,
http://www.wikidata.org/entity/Q124039121,
http://www.wikidata.org/entity/Q124039323,
http://www.wikidata.org/entity/Q124098297,
http://www.wikidata.org/entity/Q124154199,
http://www.wikidata.org/entity/Q124154228,
http://www.wikidata.org/entity/Q124321743,
http://www.wikidata.org/entity/Q4010476,Duccio di Buoninsegna (maschio)
http://www.wikidata.org/entity/Q4010941,Andrea del Sarto (maschio)
http://www.wikidata.org/entity/Q4014547,Antonello da Messina (maschio); Jaime Baço (maschio)
http://www.wikidata.org/entity/Q4015931,Cosimo Rosselli (maschio)
http://www.wikidata.org/entity/Q4015932,Vittore Carpaccio (maschio)
http://www.wikidata.org/entity/Q124962542,
