id,altezza
http://www.wikidata.org/entity/Q126456555,
http://www.wikidata.org/entity/Q126513924,
http://www.wikidata.org/entity/Q126680509,
http://www.wikidata.org/entity/Q126727120,
http://www.wikidata.org/entity/Q126727184,
http://www.wikidata.org/entity/Q126727198,
http://www.wikidata.org/entity/Q126891336,
http://www.wikidata.org/entity/Q127790733,
http://www.wikidata.org/entity/Q127985981,
http://www.wikidata.org/entity/Q129500713,
http://www.wikidata.org/entity/Q129977163,
http://www.wikidata.org/entity/Q130335034,
http://www.wikidata.org/entity/Q130552524,
http://www.wikidata.org/entity/Q130999230,
http://www.wikidata.org/entity/Q131011027,
http://www.wikidata.org/entity/Q131325204,
http://www.wikidata.org/entity/Q131349567,
http://www.wikidata.org/entity/Q131362573,
http://www.wikidata.org/entity/Q131395036,
http://www.wikidata.org/entity/Q131414320,
http://www.wikidata.org/entity/Q131414321,
http://www.wikidata.org/entity/Q131414326,
http://www.wikidata.org/entity/Q131414433,
http://www.wikidata.org/entity/Q131421438,
http://www.wikidata.org/entity/Q131421566,
http://www.wikidata.org/entity/Q131421567,
http://www.wikidata.org/entity/Q131421565,
http://www.wikidata.org/entity/Q131421570,
http://www.wikidata.org/entity/Q131421571,
http://www.wikidata.org/entity/Q131422002,
http://www.wikidata.org/entity/Q131422003,
http://www.wikidata.org/entity/Q131422007,
http://www.wikidata.org/entity/Q131422004,
http://www.wikidata.org/entity/Q131422010,
http://www.wikidata.org/entity/Q131422011,
http://www.wikidata.org/entity/Q131422008,
http://www.wikidata.org/entity/Q131422009,
http://www.wikidata.org/entity/Q131422014,
http://www.wikidata.org/entity/Q131422015,
http://www.wikidata.org/entity/Q131422012,
http://www.wikidata.org/entity/Q131422013,
http://www.wikidata.org/entity/Q131422018,
http://www.wikidata.org/entity/Q131422019,
http://www.wikidata.org/entity/Q131422016,
http://www.wikidata.org/entity/Q131422017,
http://www.wikidata.org/entity/Q131422022,
http://www.wikidata.org/entity/Q131422020,
http://www.wikidata.org/entity/Q131422021,
http://www.wikidata.org/entity/Q131422030,
http://www.wikidata.org/entity/Q131422031,
http://www.wikidata.org/entity/Q131422028,
http://www.wikidata.org/entity/Q131422029,
http://www.wikidata.org/entity/Q131422036,
http://www.wikidata.org/entity/Q131449651,
http://www.wikidata.org/entity/Q131449654,
http://www.wikidata.org/entity/Q131449662,
http://www.wikidata.org/entity/Q131449660,
http://www.wikidata.org/entity/Q131449661,
http://www.wikidata.org/entity/Q131449667,
http://www.wikidata.org/entity/Q131449675,
http://www.wikidata.org/entity/Q131449678,
http://www.wikidata.org/entity/Q131449679,
http://www.wikidata.org/entity/Q131449676,
http://www.wikidata.org/entity/Q131449680,
http://www.wikidata.org/entity/Q131449695,
http://www.wikidata.org/entity/Q131449693,
http://www.wikidata.org/entity/Q131449700,
http://www.wikidata.org/entity/Q131449706,
http://www.wikidata.org/entity/Q131449707,
http://www.wikidata.org/entity/Q131449704,
http://www.wikidata.org/entity/Q131449705,
http://www.wikidata.org/entity/Q131450079,
http://www.wikidata.org/entity/Q131450082,
http://www.wikidata.org/entity/Q131450086,
